Test | Epoch: 78 | Loss: 2.324 | Acc: 66.300
Train | Epoch: 79 | Loss: 0.067 | Acc: 97.936
Test | Epoch: 79 | Loss: 2.130 | Acc: 68.570
Train | Epoch: 80 | Loss: 0.047 | Acc: 98.562
Test | Epoch: 80 | Loss: 2.065 | Acc: 68.780
Train | Epoch: 81 | Loss: 0.041 | Acc: 98.816
Test | Epoch: 81 | Loss: 2.082 | Acc: 68.890
Train | Epoch: 82 | Loss: 0.036 | Acc: 98.960
Test | Epoch: 82 | Loss: 2.040 | Acc: 69.150
Train | Epoch: 83 | Loss: 0.033 | Acc: 99.016
Test | Epoch: 83 | Loss: 2.066 | Acc: 69.120
Train | Epoch: 84 | Loss: 0.033 | Acc: 99.046
Test | Epoch: 84 | Loss: 2.052 | Acc: 69.200
Train | Epoch: 85 | Loss: 0.029 | Acc: 99.120
Test | Epoch: 85 | Loss: 2.054 | Acc: 69.400
Train | Epoch: 86 | Loss: 0.028 | Acc: 99.174
Test | Epoch: 86 | Loss: 2.026 | Acc: 69.370
Train | Epoch: 87 | Loss: 0.028 | Acc: 99.210
Test | Epoch: 87 | Loss: 2.086 | Acc: 69.170
Train | Epoch: 88 | Loss: 0.026 | Acc: 99.226
Test | Epoch: 88 | Loss: 2.062 | Acc: 69.170
Train | Epoch: 89 | Loss: 0.025 | Acc: 99.302
Test | Epoch: 89 | Loss: 2.072 | Acc: 69.190
Train | Epoch: 90 | Loss: 0.024 | Acc: 99.284
Test | Epoch: 90 | Loss: 2.069 | Acc: 69.560
Train | Epoch: 91 | Loss: 0.024 | Acc: 99.306
Test | Epoch: 91 | Loss: 2.066 | Acc: 69.540
Train | Epoch: 92 | Loss: 0.021 | Acc: 99.424
Test | Epoch: 92 | Loss: 2.051 | Acc: 69.750
Train | Epoch: 93 | Loss: 0.021 | Acc: 99.458
Test | Epoch: 93 | Loss: 2.046 | Acc: 69.680
Train | Epoch: 94 | Loss: 0.020 | Acc: 99.470
Test | Epoch: 94 | Loss: 2.058 | Acc: 69.790
Train | Epoch: 95 | Loss: 0.020 | Acc: 99.424
Test | Epoch: 95 | Loss: 2.061 | Acc: 69.910
Train | Epoch: 96 | Loss: 0.021 | Acc: 99.398
Test | Epoch: 96 | Loss: 2.072 | Acc: 70.020
Train | Epoch: 97 | Loss: 0.019 | Acc: 99.424
Test | Epoch: 97 | Loss: 2.104 | Acc: 69.840
Train | Epoch: 98 | Loss: 0.018 | Acc: 99.470
Test | Epoch: 98 | Loss: 2.105 | Acc: 70.030
